language,model,n_params,R2,RSS,RSE,AIC,BIC
indonesian,model2p,3,0.42449915082183476,320.8120895052132,0.6784361389983692,2744.6391083530525,4231.68895788464
indonesian,model3p,3,0.3460820747870915,364.52557151226915,0.7231820045042857,2961.7961293343897,4448.845978865977
indonesian,model4p,2,0.42450668271418157,320.8078908630649,0.6779455426725703,2742.5886515556967,4224.730745808301
indonesian,model5p,4,0.4394668249979242,312.46838187329286,0.6700364352261697,2672.1119123612357,4164.069517171805
icelandic,null,0,-1.8379438281205025,1571.3815804236162,1.498275952278683,3906.5780276001346,5378.904611294776
icelandic,model1,1,-1.9288607162050204,1621.7226484425921,1.5231746497065646,3604.8048859936403,5082.039224967264
icelandic,model2,2,0.3953328384478473,334.80678177458935,0.6925791481613441,2564.1202701432485,4046.262364395853
icelandic,model3,2,0.32069394542133445,376.13465462496447,0.7340809651254744,2704.0655757934037,4186.207670046009
icelandic,model4,1,0.1868074825593189,450.26815914495194,0.8025960731112556,2909.2032382593566,4386.43757723298
icelandic,model5,3,0.41352907276252704,324.731449362497,0.6825677838670431,2523.10053922861,4010.1503887601975
icelandic,model1p,2,0.38143664286410295,342.50116443357297,0.700492217891131,2610.7712431341242,4092.913337386729
icelandic,model2p,3,0.40538112289465456,329.243003894945,0.6872929492782617,2538.504176077994,4025.5540256095815
icelandic,model3p,3,0.3373131343467918,366.93253895929286,0.7255656665850186,2687.5436546261603,4174.593504157748
icelandic,model4p,2,0.40538678973674735,329.2398661403512,0.6867971699392815,2536.4851481107453,4018.627242363351
icelandic,model5p,4,0.41643545808199345,323.1221714369196,0.6813633343847099,2529.659064612297,4021.6166694228664
italian,null,0,-2.831351755763171,1870.187497270057,1.634532478928305,156254003.52359754,156255475.85018122
italian,model1,1,-2.3835637165138466,1651.6099179153398,1.5371461200687937,3534.4907217281416,5011.725060701765
italian,model2,2,0.4386280016694897,274.0210138669721,0.6265622467824592,2321.0522903036513,3803.1943845562564
italian,model3,2,0.32816626631104384,327.94040565431516,0.6854404871291649,2444.564619244228,3926.7067134968333
italian,model4,1,0.18103329016643976,399.7600322411623,0.756242530074518,2768.8143163880213,4246.048655361645
italian,model5,3,0.47941698674928523,254.11079554576924,0.6038028642842711,2264.23798839569,3751.287837927278
italian,model1p,2,0.41589666736405373,285.11679935582606,0.6391218897112352,2357.9920683179207,3840.1341625705263
italian,model2p,3,0.45612211508258604,265.48165902131393,0.6171644082201797,2290.337170247938,3777.3870197795254
italian,model3p,3,0.34664476820941914,318.9205438870839,0.6764331126841426,2439.983105860052,3927.0329553916395
italian,model4p,2,0.4561325713986183,265.47655500770264,0.6167162264952144,2288.213602425053,3770.3556966776578
italian,model5p,4,0.4877375443941504,250.04930397054792,0.5993882225544593,2257.760695076641,3749.7182998872104
japanese,null,0,-3.76831884640122,2453.09078373216,1.8720083881573975,156254303.60851565,156255775.93509933
japanese,model1,1,-2.127224158773252,1608.8195881324104,1.517103061680466,3593.3758955297335,5070.610234503357
japanese,model2,2,0.30104981989813806,359.57919349077446,0.7177439917309416,2676.273265141615,4158.41535939422
japanese,model3,2,0.23929166799167934,391.3510523245026,0.7487822514347928,2747.08820681651,4229.230301069116
japanese,model4,1,0.07500425788706866,475.8697148956958,0.8250978308454976,2936.9960358941034,4414.230374867727
japanese,model5,3,0.31831049792027166,350.6993321515897,0.7093344953753462,2663.7432766011957,4150.793126132783
japanese,model1p,2,0.2897864327027233,365.3737118970954,0.7235040013484275,2690.3249397881127,4172.467034040717
japanese,model2p,3,0.3088543069306525,355.5641274207553,0.7142373880683603,2667.501723052024,4154.551572583611
japanese,model3p,3,0.2496983358639181,385.9972784119175,0.744176124241327,2740.9019554269235,4227.951804958511
japanese,model4p,2,0.30885999074321846,355.56120334863033,0.7137226385630938,2665.170923053911,4147.3130173065165
japanese,model5p,4,0.32191073494233025,348.8471682039693,0.7079669453409235,2651.6520261602845,4143.609630970854
korean,null,0,-0.13557056906625653,483.85118354623296,0.831393995945736,3118.5622906395797,4590.888874334221
korean,model1,1,-1.5241804752825074,1075.5189890611491,1.2404248366914055,3275.4946246337213,4752.728963607345
korean,model2,2,0.4242248728293089,245.3299551141916,0.5928537597020235,2359.2735438002587,3841.415638052864
korean,model3,2,0.35460576546843414,274.993710420645,0.6276733204177535,2483.0174076676567,3965.159501920262
korean,model4,1,0.230639841042662,327.81390573632075,0.6848178916231338,2708.0526267495825,4185.286965723206
korean,model5,3,0.434055691215288,241.1411770312977,0.5881922516197943,2378.83078089998,3865.8806304315667
korean,model1p,2,0.41359711726810744,249.85829729459496,0.5983002395451809,2373.811729121838,3855.9538233744433
korean,model2p,3,0.4323898195755489,241.85098229261814,0.5890572950342136,2349.2747665333995,3836.324616064987
korean,model3p,3,0.37287488031446003,267.2094889187967,0.6191694915618126,2454.3677155039322,3941.417565035519
korean,model4p,2,0.43239480036006017,241.84886004804224,0.5886326003354817,2347.3177069258572,3829.459801178463
korean,model5p,4,0.43667024602831883,240.0271507653901,0.5872534341553778,2373.828798450554,3865.786403261124
polish,null,0,-1.220706389693122,1140.0463829682353,1.2761809001683977,3583.186095489956,5055.512679184598
polish,model1,1,-1.6518650484657442,1361.3907586590212,1.3955738117978553,3469.573461868292,4946.807800841915
polish,model2,2,0.46398061885984243,275.17683540062865,0.6278822770783513,2436.3747887701156,3918.5168830227212
polish,model3,2,0.3679743369205495,324.4636816830157,0.6817973903545627,2571.6584480259057,4053.800542278511
polish,model4,1,0.30226783875712804,358.1954959905654,0.7158490821584758,2857.2430344933614,4334.477373466985
polish,model5,3,0.4950357699759772,259.23401969712006,0.6098592397007516,2351.948381176664,3838.998230708252
polish,model1p,2,0.4454094532863502,284.7107342707489,0.638666606902104,2460.85690588084,3942.9990001334454
polish,model2p,3,0.4793243183063379,267.2998242223314,0.6192741437912112,2402.8722770830263,3889.922126614614
polish,model3p,3,0.3896016302940831,313.3608552588088,0.670511117126736,2565.2499010599854,4052.299750591573
polish,model4p,2,0.4793346455046752,267.29452253762184,0.618824241631642,2400.842942977349,3882.9850372299543
polish,model5p,4,0.49832773134019814,257.54402201729624,0.6083046230242435,2335.7969373622036,3827.7545421727727
portuguese,null,0,-2.33030918760743,1602.149855717411,1.5128732624274017,3870.0652925418,5342.391876236441
portuguese,model1,1,-1.9937598235044063,1440.2422114824858,1.4354206172163393,3452.948906537542,4930.183245511165
portuguese,model2,2,0.47695059415912966,251.62934817564752,0.600416937485094,2338.940485400353,3821.082579652958
portuguese,model3,2,0.36404204285671427,305.94755377997063,0.662057608990135,2523.683331242034,4005.8254254946387
portuguese,model4,1,0.2707606494419301,350.82349849908076,0.7084443640985546,2747.056211120011,4224.290550093634
portuguese,model5,3,0.5113842036061669,235.06397862597092,0.5807331963771489,2271.846634901098,3758.896484432685
portuguese,model1p,2,0.45473083370254885,262.3188619727619,0.6130375098635147,2399.8413091357534,3881.9834033883585
portuguese,model2p,3,0.49457321010648025,243.15143516310377,0.5906388768730801,2320.220064349699,3807.269913881286
portuguese,model3p,3,0.38527873198346496,295.7309773290667,0.6513764009235774,2496.5444846394803,3983.594334171067
portuguese,model4p,2,0.4945833794893786,243.1465428619913,0.5902096937617195,2318.160011043122,3800.3021052957274
